,id,timepoint,Date,t=-10,t=-30,t=-20,Phase,t=
430,40,20,3/28/13,40.57,40.9,42.48,S,63.66
431,41,20,3/28/13,73.85,68.03,68.05,S,92.92
432,42,20,3/28/13,,,,S,
433,43,20,3/28/13,67.55,51.15,57.27,S,64.96
434,44,20,3/28/13,85.01,78.26,81.4,S,94.51
435,45,20,3/28/13,,,,S,
436,46,20,3/28/13,74.98,75.16,81.42,S,128.48
437,47,20,3/28/13,65.89,56.34,61.99,S,139.13
438,48,20,3/28/13,67.25,75.36,73.55,S,140.9
439,49,20,3/28/13,,,,S,
440,50,20,3/28/13,,,,S,
441,51,20,3/28/13,77.49,74.82,75.4,S,84.35
442,52,20,3/28/13,,,,G2/M,132.65
443,53,20,3/28/13,54.64,40.43,44.64,G2/M,139.77
444,54,20,3/28/13,46.82,40.35,45.28,G2/M,124.93
445,55,20,3/28/13,,,,G2/M,
446,56,20,3/28/13,,,,G2/M,
447,57,20,3/28/13,45.92,48.01,52.27,G2/M,100.06
448,58,20,3/28/13,93.07,113.37,108.36,G2/M,161.9
449,59,20,3/28/13,,,,G2/M,
450,60,20,3/28/13,39.42,40.67,40.74,G2/M,117.67
451,61,20,3/28/13,,,,G2/M,
452,62,20,3/28/13,60.46,62.85,57.84,G2/M,153.02
453,63,20,3/28/13,53.91,46.45,49.19,G2/M,165.85
454,64,20,3/28/13,,,,G2/M,156.35
455,65,20,3/28/13,68.17,71.6,69.77,G2/M,180.46
456,66,20,3/28/13,,,,G2/M,204.43
457,67,20,3/28/13,57.86,69.21,62.09,G2/M,175.06
458,68,20,4/19/12,56.99,,44.99,G1,80.32
459,69,20,4/19/12,80.28,58.07,65.63,G1,128.6
460,70,20,4/19/12,65.6,56.7,58.06,G1,101.15
461,71,20,4/19/12,61.6,,57.83,G1,113.87
462,72,20,4/19/12,51.88,,,G1,82.59
463,73,20,4/19/12,59.41,43.24,48.14,G1,109.85
464,74,20,4/19/12,80.27,64.17,75.06,G1,130.78
465,75,20,4/19/12,64.28,53.14,54.95,G1,138.85
466,76,20,4/19/12,60.75,39.1,47.82,G1,108.35
467,77,20,4/19/12,,,,G1,
468,78,20,4/19/12,55.9,33.89,44.39,G1,99.31
469,79,20,4/19/12,57.3,32.12,45.31,G1,109.19
470,80,20,4/19/12,44.66,36.21,37.83,G1,59.49
471,81,20,4/19/12,55.35,,45.34,G1,97.61
472,82,20,4/19/12,65.7,41.78,48.44,G1,124.8
473,83,20,4/19/12,59.93,41.09,50.59,G1,119.36
474,84,20,4/19/12,48.01,,41.13,G1,90.86
475,85,20,4/19/12,59.69,57.12,57.94,G1,100.93
476,86,20,4/19/12,64.61,56.86,60.15,G1,131.89
477,87,20,4/19/12,81.25,54.35,70.87,G1,132.41
478,88,20,4/19/12,65.02,50.96,60.82,G1,91.68
479,89,20,4/19/12,56.95,49.21,54.74,G1,114.64
480,90,20,4/19/12,44.99,33.02,41.92,G1,87.45
481,91,20,4/19/12,49.08,36.07,44.28,G1,89.53
482,92,20,4/19/12,59.01,41.89,52.17,G1,113.51
483,93,20,4/19/12,59.48,34.85,49.21,G1,100.8
484,94,20,4/19/12,93.87,66.12,83.01,G1,144.78
485,95,20,4/19/12,74.64,42.5,64.72,G1,137.81
486,96,20,4/19/12,85.93,64.85,80.42,G1,150.26
487,97,20,4/19/12,,,,S,
488,98,20,4/19/12,61.45,53.94,58.84,S,73.36
489,99,20,4/19/12,77.93,52.99,62.83,S,91.19
490,100,20,4/19/12,,,,S,
491,101,20,4/19/12,,,,S,
492,102,20,4/19/12,58.16,61.0,57.36,S,79.67
493,103,20,4/19/12,72.83,51.27,58.46,S,76.47
494,104,20,4/19/12,,,,S,76.53
495,105,20,4/19/12,73.17,56.72,62.99,S,80.46
496,106,20,4/19/12,91.29,67.5,77.83,S,92.27
497,107,20,4/19/12,,,,S,
498,108,20,4/19/12,37.96,38.51,38.44,S,67.63
499,109,20,4/19/12,,,,S,
500,110,20,4/19/12,,,,S,
501,111,20,4/19/12,,,,S,
502,112,20,4/19/12,55.54,38.46,43.73,S,59.45
503,113,20,4/19/12,86.7,65.56,73.48,S,93.2
504,114,20,4/19/12,,,,S,
505,115,20,4/19/12,,,,S,
506,116,20,4/19/12,58.74,41.74,47.81,S,75.89
507,117,20,4/19/12,,,,S,
508,118,20,4/19/12,21.82,18.95,18.89,S,33.12
509,119,20,4/19/12,,,,S,
510,120,20,4/19/12,48.14,34.92,40.86,S,42.98
511,121,20,4/19/12,,,,S,
